stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
1,0001,Trento. Autostazione,,46.070785,11.118457,0001
2,0001BS,Trento. Solteri Bivio Ss.12,,46.084046,11.119728,0001
3,0001BC,Trento. Bren Center,,46.091322,11.115660,0001
4,1010,Lavis,,46.138362,11.109135,1010
5,0954,S. Michele All'adige,,46.193685,11.132520,6110
6,1030,Salorno,,46.240611,11.208101,1030
7,1040,Laghetti,,46.271949,11.238970,1040
8,1050,Egna-Neumarkt,,46.315974,11.272446,1050
9,1059,Ss48. Bivio Aguai,,46.291366,11.418715,1060
10,1060VA,Castello di F. Via Stazione,,46.282070,11.428963,1060
11,1060,Castello di Fiemme,,46.281012,11.434818,1060
12,1070BN,Cavalese. Bivio Carano,,46.287418,11.441658,1070
13,1070HG,Cavalese. Htl Garden,,46.289270,11.448063,1070
14,1070BL,Cavalese. Piazza Partigiani,,46.291892,11.455502,1070
15,1070PV,Cavalese. Piazza Verdi,,46.290336,11.460686,1070
16,1070,Cavalese. Autostazione,,46.290897,11.466190,1070
17,1190GD,Tesero. Giardino Dolomiti,,46.292467,11.484689,1190
18,1190LP,Tesero. Loc. Piera,,46.292228,11.492120,1190
19,1190,Tesero. Piazza Battisti,,46.288879,11.510906,1190
20,1200CC,Panchia'. Casa Cantoniera,,46.286998,11.532100,1200
22,1210,Ziano di Fiemme,,46.286636,11.559670,1210
23,1210RD,Ziano di Fiemme. Roda,,46.288371,11.569359,1210
24,1220BN,Predazzo. Borgo Nuovo,,46.306540,11.598949,1220
25,1220,Predazzo. Autostazione,,46.309522,11.604922,1220
26,1220IP,Predazzo. Distrib. Agip,,46.317180,11.597105,1220
27,1220LT,Predazzo. Impianti Latemar,,46.328533,11.600272,1220
28,1239,Mezzavalle,,46.337924,11.610365,1239
29,1240,Forno,,46.347286,11.625627,1240
30,1240AF,Forno. Albergo Foresta,,46.354425,11.633768,1240
31,1250CC,Moena. Caserma Carabinieri,,46.369234,11.652293,1250
32,1250AT,Moena. Albergo Trentino,,46.372945,11.655268,1250
34,1250PZ,Moena. Pezzè,,46.380760,11.665570,1250
35,1270HL,Soraga. Htl Al Lago,,46.392163,11.666737,1270
36,1270,Soraga,,46.396751,11.669549,1270
37,1280,Vigo di Fassa. Pont De Pant,,46.421412,11.676427,1280
38,1290,S.Giovanni. Htl Dolomiti,,46.420879,11.681906,1280
39,1300,Pozza di Fassa,,46.427263,11.682909,1300
40,1310,Pera di Fassa,,46.435753,11.690473,1310
41,1310AP,Pera di Fassa. Al Ponte,,46.441683,11.695465,1310
42,1320,Mazzin di Fassa,,46.457960,11.701361,1320
43,1330,Campestrin,,46.462705,11.714972,1330
44,1340,Fontanazzo,,46.469689,11.727811,1340
45,1350,Campitello. Piazza,,46.476513,11.740901,1350
46,1360CA,Canazei. Htl Caminetto,,46.479178,11.759193,1360
47,1360GR,Canazei. Gries,,46.477902,11.763957,1360
48,1360,Canazei. Via Pareda,,46.476195,11.770866,1360
49,1360FB,Canazei. Impianti Belvedere,,46.474085,11.774368,1360
50,1360IP,Canazei. Rotatoria Faloria,,46.471561,11.777812,1360
51,1380HA,Alba. Htl Ariston,,46.466322,11.780889,1380
52,1380,Alba. Via De Costa,,46.461951,11.782995,1380
53,1380FC,Alba. Impianti Ciampac,,46.459391,11.786084,1380
54,1390,Penia. Str. Pian Trevisan,,46.457433,11.791831,1390
55,1390PN,Penia. Htl Panarel,,46.456575,11.801529,1390
56,1390PA,Penia Alta,,46.458446,11.799736,1390
58,1390PR,Penia. Htl Panarel,,46.456710,11.801523,1390
59,1390RR,Penia. Str. Pian Trevisan,,46.457619,11.792331,1390
60,1380FR,Alba. Impianti Ciampac,,46.458437,11.789031,1380
61,1380RR,Alba. Via De Costa,,46.462159,11.782943,1380
62,1360IR,Canazei. Rotatoria Faloria,,46.471443,11.777931,1360
63,1360FR,Canazei. Impianti Belvedere,,46.474072,11.774719,1360
64,1360RR,Canazei. Gries,,46.477768,11.764654,1360
65,1360CR,Canazei. Htl Caminetto,,46.479392,11.759629,1360
66,1350RR,Campitello. Piazza,,46.476723,11.741524,1350
67,1340RR,Fontanazzo,,46.469610,11.726986,1340
68,1300UP,Pozza di Fassa,,46.427927,11.683273,1300
69,1070ST,Cavalese. Via Esterle,,46.293123,11.457258,1070
70,1070HR,Cavalese. Htl Garden,,46.289338,11.447858,1070
71,1040AT,Laghetti-Laag,,46.272133,11.238770,1040
72,1030RR,Salorno-Salurn,,46.240219,11.207185,1030
73,1010CS,Lavis,,46.137040,11.109579,1010
74,0001FS,Trento. Staz. Fs,,46.072601,11.120053,0001
77,0001AA,Trento. Assoc. Artigiani,,46.083017,11.120408,0001
79,0935,Gardolo. Via Bolzano,,46.108560,11.108750,0935
80,0935BS,Gardolo. Bivio Spini,,46.119077,11.106058,0937
81,0935LA,Gardolo. Loc.Lamar,,46.129072,11.109727,0937
82,1010VC,Lavis. Via Cembra 16,,46.143209,11.106615,1010
83,1010VB,Lavis. Via Bresadola,,46.143939,11.112485,1010
84,1010TO,Lavis. Via Cembra 50,,46.141936,11.114440,1010
85,1010MF,Maso Franch,,46.143817,11.118837,1071
86,1071CA,Mosana. Loc. Ai Castagnari,,46.150493,11.125736,1071
87,1071,Mosana,,46.154400,11.137227,1071
88,1072,Verla,,46.157056,11.152525,1072
89,1072CR,Verla. Cantina Rossi,,46.155284,11.156325,1072
90,1073,Valternigo,,46.160790,11.158786,1073
91,1074,Ville di Giovo,,46.165786,11.157337,1074
92,1074MR,Ville di Giovo. Maso Roncador,,46.162213,11.140582,1074
93,1091,Passo Croce,,46.161488,11.134618,1075
94,1075,Palu' di Giovo,,46.158216,11.140399,1075
95,1072BV,Verla. Bivio,,46.155899,11.160677,1072
96,1076,Ceola,,46.159677,11.171449,1076
97,1077,Lisignago,,46.160169,11.187697,1077
98,1078SL,Lisignago. Loc.Bedin,,46.164967,11.203561,1077
99,1078CI,Cembra. Cimitero,,46.174520,11.217344,1078
100,1078,Cembra,,46.174957,11.221710,1078
101,1078FA,Fadana,,46.177556,11.225067,1078
102,1078MO,Cembra. Loc.Molini,,46.180272,11.228393,1078
103,1079FB,Faver Bivio,,46.180960,11.231877,1079
104,1079,Faver,,46.181717,11.237790,1079
105,1079UF,Faver. Ufficio Postale,,46.183756,11.240750,1079
106,1079LP,Faver. Loc. Portegnago,,46.197033,11.246629,1079
107,1080CA,Valda. Capitello,,46.207070,11.262063,1080
108,1080,Valda,,46.206785,11.266459,1080
109,1081,Grumes,,46.221664,11.293926,1081
110,1082,Grauno,,46.229416,11.298250,1082
111,1084CN,Capriana. Case Nuove,,46.261034,11.339907,1084
112,1084,Capriana,,46.262790,11.339450,1084
113,1083,Capriana. Albergo Miravalle,,46.262058,11.343987,1084
114,1085,Carbonare-Rover,,46.266759,11.351740,1085
115,1087,Stramentizzo. Bivio,,46.266506,11.406481,1088
116,1088,Molina di Fiemme,,46.272943,11.417691,1088
117,1088VS,Molina di F. Via Segherie,,46.272417,11.424248,1088
118,1088SC,Molina di Fiemme. Chiesa,,46.274183,11.416701,1088
119,1060FT,Castello di Fiemme Conc.Fiat,,46.278943,11.430131,1060
121,1060RR,Castello di Fiemme,,46.281234,11.434746,1060
123,1088VR,Molina di Fiemme. Via Segherie,,46.272410,11.424118,1088
124,1081RR,Grumes,,46.221406,11.294187,1081
125,1079RR,Faver,,46.181190,11.236667,1079
126,1078FR,Fadana,,46.178186,11.225986,1078
127,1078RR,Cembra,,46.175121,11.222040,1078
128,1077RR,Lisignago,,46.160228,11.187881,1077
129,1076RR,Ceola,,46.159590,11.170862,1076
130,1072RR,Verla,,46.157152,11.152806,1072
131,1010BR,Lavis. Via Bresadola,,46.143962,11.112741,1010
132,1010VR,Lavis. Via Cembra 16,,46.142758,11.105019,1010
133,0938,Lamar di Gardolo. Ss.12-Ftm,,46.125857,11.107857,0937
134,0935SS,Gardolo. Via Bolzano,,46.108391,11.108627,0935
135,0935CA,Gardolo. Cicli Moser,,46.102642,11.110465,0935
137,1127,Casatta,,46.250382,11.344527,1127
138,1128,Barcatta,,46.250423,11.349653,1128
139,1129,Villaggio Italo-Svizzero,,46.247856,11.346655,1129
140,1130,Dora',,46.251864,11.355629,1135
141,1131,Palu' di Sicina,,46.256918,11.363011,1135
142,1132,Casanova di Sicina,,46.241994,11.349804,1135
143,1133,Valle,,46.238606,11.351276,1135
144,1134,Montalbiano,,46.234427,11.355128,1135
145,1135,Sicina,,46.230006,11.358746,1135
532,0001VG,Trento. Via Giusti Cimitero,,46.063017,11.118982,0001
533,0001VE,Trento. Via V.Veneto,,46.057701,11.119288,0001
535,0001VL,Trento. Via Lorenzoni,,46.058380,11.122960,0001
537,0001VF,Trento. Via S.Francesco,,46.066636,11.126199,0001
538,4070,Montesover,,46.217085,11.327081,4070
539,4070SV,Montesover-Strada Vernera,,46.218167,11.326636,4070
540,4070VE,Montesover-Strada Vernera 17,,46.217390,11.324140,4070
541,4070CA,Montesover-Carrozzeria,,46.215298,11.328098,4070
542,1125,Sveseri Bivio,,46.207641,11.327802,1141
543,1124,Piazzoli,,46.214260,11.323606,1123
544,1123,Facendi,,46.214916,11.321416,1123
546,1122,Sover,,46.223892,11.312413,1122
548,0946,Nave S.Felice,,46.164603,11.112264,0946
549,0943,Sorni. Bivio,,46.174732,11.122247,0944
551,0944,Sorni,,46.173837,11.120534,0944
552,0946RR,Nave S.Felice,,46.166611,11.112919,0946
557,1070IT,Cavalese. Case Itea,,46.289446,11.469194,1070
558,1070MC,Marco di Cavalese,,46.290187,11.476965,1070
559,1153,Milon,,46.285864,11.479723,1070
560,1151CS,Masi. Campo Sportivo,,46.283461,11.480803,1070
561,1151PB,Masi. Piccolo Bar,,46.283362,11.483304,1070
562,1151,Masi di Cavalese,,46.283212,11.485244,1070
563,1151VC,Masi. Via Chiesa Civ.118,,46.284433,11.489103,1070
